position,cat_open,cat_ladies,cat_vets,cat_v50,cat_v60,race_number,first_name,last_name,club,age_category,sex,time,series_runner_id
5,1,,,,,,Richard,Smith,preston,SEN,M,00:44:40,154
6,2,,,,,,Oliver,Heaton,preston,SEN,M,00:45:09,101
31,3,,,,,,Andrew,Christie,red-rose,SEN,M,00:50:32,106
37,4,,1,1,,,John,Griffiths,preston,V50,M,00:51:14,107
38,5,,2,2,,,Mark,Ellithorn,chorley,V50,M,00:51:23,115
39,6,,3,3,,,John,Rainford,preston,V55,M,00:51:30,200
42,7,,4,,,,Chris,Charnley,chorley,V40,M,00:52:15,111
46,8,,,,,,Alex,Waddelove,preston,SEN,M,00:52:53,201
49,9,1,,,,,Carla,Davies,red-rose,SEN,F,00:53:03,190
50,10,,5,,,,Phil,Iddon,chorley,V45,M,00:53:19,191
51,11,,6,4,,,Stuart,Cann,red-rose,V50,M,00:53:48,114
60,12,,,,,,John,Naylor,red-rose,SEN,M,00:54:59,163
68,13,,7,5,,,Philip,Butler,red-rose,V50,M,00:55:40,109
70,14,,8,6,,,Frank,Nightingale,red-rose,V50,M,00:55:57,112
79,15,,9,7,1,,John,Collier,wesham,V60,M,00:57:47,121
83,16,,10,8,,,Nigel,Shepherd,wesham,V55,M,00:57:59,119
91,17,,11,9,2,,Fred,Lynch,red-rose,V60,M,00:58:33,202
101,18,,12,10,3,,Alan,Appleby,preston,V70,M,00:59:54,167
102,19,,13,11,,,Roy,Parkinson,preston,V50,M,01:00:00,120
104,20,,14,12,,,Stephen,Barker,chorley,V55,M,01:00:32,127
109,21,,15,13,4,,Michael,McLoughlin,preston,V60,M,01:01:15,123
134,22,,16,14,,,Peter,Carter,preston,V50,M,01:04:55,125
135,23,,17,,,,Simon,Morries,red-rose,V40,M,01:04:57,203
137,24,,18,15,5,,Steve,Taylor,preston,V60,M,01:05:32,126
148,25,,19,16,,,Shane,Cliffe,red-rose,V50,M,01:07:36,204
149,26,2,20,,,,Laura,Lawler,blackpool,V45,F,01:07:49,205
151,27,3,21,17,,,Paula,Plowman,red-rose,V50,F,01:08:29,130
155,28,,22,18,,,Simon,Scarr,blackpool,V50,M,01:10:08,134
156,29,4,23,,,,Jen,Salt,wesham,V40,F,01:10:12,175
161,30,,24,19,,,John,Wiseman,red-rose,V50,M,01:11:20,206
163,31,,25,20,6,,Graham,Schofield,chorley,V60,M,01:12:16,180
165,32,5,,,,,Emily,Ingham,red-rose,SEN,F,01:12:23,207
169,33,6,26,21,,,Lynn,Melvin,red-rose,V55,F,01:13:14,132
171,34,7,27,,,,Debbie,Cooper,lytham,V40,F,01:13:53,128
181,35,8,28,22,,,Alison,Mercer,red-rose,V55,F,01:16:36,140
183,36,9,,,,,Melanie,Lowe,red-rose,SEN,F,01:18:40,208
184,37,10,29,23,,,Pamela,Hardman,lytham,V55,F,01:18:49,182
186,38,,30,24,,,Wayne,Hope,red-rose,V55,M,01:19:31,209
187,39,,31,25,,,Anees,Shaikh,red-rose,V50,M,01:20:01,210
188,40,11,32,,,,Judi,Ingham,red-rose,V45,F,01:20:22,211
192,41,12,,,,,Emily,Wiggins,preston,SEN,F,01:23:01,212
193,42,13,33,26,,,Sally,Cape,red-rose,V50,F,01:23:24,151
194,43,,34,27,,,Greg,Oulton,lytham,V50,M,01:23:59,145
197,44,,35,28,,,Graham Michael,Vickers,wesham,V55,M,01:25:57,213
